pm25,pm10,no2,so2,co,o3,AQI
54.72,117.4,1.85714285714285,4.0,9.0,2.0,194.4956666666667
43.434,117.8,1.71428571428571,2.0,5.0,1.0,150.47033333333334
30.941999999999993,105.4,1.57142857142857,4.0,4.0,2.0,110.45300000000002
11.8188,84.6,3.0,4.0,5.0,2.0,85.09000000000002
8.342999999999998,65.1,3.0,2.0,9.0,1.0,65.50200000000001
3.997979999999998,45.8,1.0,1.0,9.0,2.0,48.33266666666668
4.089959999999998,33.4,2.0,1.0,11.0,1.0,38.58000000000001
9.208079999999995,34.2,3.0,1.0,11.0,1.0,37.38333333333335
10.636919999999995,35.0,3.0,2.0,11.0,1.0,41.43222222222223
11.477759999999996,35.266666666666666,3.0,2.0,9.0,1.0,42.35
9.901919999999997,34.8,3.0,3.0,8.0,1.0,40.335555555555565
9.113999999999997,34.333333333333336,3.0,1.0,13.0,1.0,36.88222222222223
4.433519999999998,34.13333333333334,3.0,2.0,14.0,1.0,35.65333333333334
8.972879999999998,33.93333333333334,3.0,2.0,15.0,3.0,38.23555555555557
11.066159999999996,35.86666666666666,3.0,2.0,16.0,4.0,46.366088888888896
14.805839999999996,38.333333333333336,3.0,1.0,17.0,5.0,58.182977777777786
29.595999999999993,41.2,3.0,1.0,19.0,2.0,70.96586666666667
34.397999999999996,43.4,3.0,1.0,16.0,24.0,82.03333333333335
38.906,45.6,3.0,1.0,9.0,12.0,96.39222222222223
44.785999999999994,50.8,3.0,1.0,11.0,11.0,121.55822222222223
54.03999999999999,57.0,3.0,6.0,17.0,4.0,158.09333333333333
90.41999999999999,62.8,3.0,3.5,15.0,4.0,200.82066666666665
102.51999999999998,68.4,3.0,1.0,15.0,4.0,241.854
114.2,77.4,2.5,4.0,17.0,2.0,270.64014295142874
120.0,81.8,2.0,4.0,20.0,3.0,279.3081429514288
110.4,85.2,2.2,5.0,25.0,4.0,275.1281429514288
110.4,86.0,2.4,3.0,27.0,3.0,268.32000000000005
66.24,86.8,2.6,5.0,26.0,4.0,268.32000000000005
110.4,81.4,7.0,4.0,30.0,4.0,268.1000000000001
110.2,76.0,3.0,4.0,24.0,4.0,275.0331000174452
119.6,73.2,3.0,4.0,24.0,48.0,280.3445855649768
119.6,75.1,3.0,3.0,18.0,23.0,280.1245855649768
110.0,77.0,2.5,2.0,17.0,12.0,254.2714855475317
93.2,75.2,2.0,3.0,22.0,37.0,216.85866666666672
48.912000000000006,73.4,3.5,2.0,20.0,28.5,172.34933333333336
20.952,69.6,5.0,1.0,18.0,20.0,133.7906666666667
34.488,63.7,7.0,1.0,16.0,29.0,106.38800000000003
32.25599999999999,52.4,7.0,4.0,22.0,28.0,89.03380000000003
29.170799999999993,46.6,6.0,2.0,14.0,24.0,78.5363666666667
22.919399999999992,40.8,11.0,3.0,16.0,11.0,64.03370000000002
5.833799999999998,35.2,3.0,4.0,6.0,4.0,46.913900000000034
3.7862999999999984,29.6,6.0,5.0,9.0,4.0,35.25000000000003
2.0999999999999996,29.4,9.0,6.0,12.0,4.0,30.816666666666702
2.0999999999999996,33.0,4.0,2.0,4.0,2.0,33.66666666666671
4.280009999999998,38.6,8.0,2.0,8.0,4.0,39.44444444444448
8.411999999999999,45.2,11.0,4.0,10.0,3.0,48.70566666666671
35.989999999999995,52.35,12.0,3.0,11.0,3.0,60.55922222222225
26.507999999999996,59.5,7.0,1.0,6.0,1.0,77.37833333333336
34.967999999999996,63.85,21.0,3.0,12.0,2.0,93.9517777777778
37.727999999999994,66.85,22.0,3.75,13.75,2.0,116.01022222222224
71.91999999999999,69.05,25.0,6.0,19.0,2.0,141.12800000000001
81.67999999999999,74.9,28.0,5.0,11.0,3.0,177.45333333333335
95.6,80.75,35.0,4.0,18.0,5.0,211.7546666666667
102.8,84.8,42.0,5.0,20.0,4.0,231.09600000000003
98.96,85.2,46.0,3.0,17.0,4.0,231.71200000000002
96.16,84.6,47.0,3.0,16.0,4.0,220.008
55.296,81.8,50.0,3.0,13.0,4.0,207.57466666666667
87.96,79.0,27.0,1.0,14.0,2.0,193.60133333333332
83.75999999999999,74.4,29.0,4.0,15.0,4.0,184.51200000000003
84.2,71.6,49.0,1.0,16.0,5.0,171.92800000000003
76.52,64.8,56.0,2.0,16.0,5.0,148.65200000000004
62.6,56.0,61.0,4.0,15.0,4.0,116.68977777777782
30.479999999999997,53.4,34.0,1.0,8.0,2.0,90.45333333333338
9.617999999999999,58.2,34.0,1.0,6.0,2.0,83.1766666666667
43.31999999999999,64.2,70.0,4.0,14.0,4.0,81.06422222222226
46.559999999999995,78.2,36.0,4.0,16.0,4.0,97.35666666666668
40.48799999999999,95.8,36.0,2.0,15.0,2.0,116.11733333333336
43.82399999999999,109.0,38.0,3.0,20.0,3.0,143.63600000000002
