date, pm25, pm10, o3, no2, co,location
2022-06-12,26,23,3, ,6,"Siddharth Nagar-Worli, Mumbai"
2022-06-13,55,35,6, ,6,"Siddharth Nagar-Worli, Mumbai"
2022-06-14,78,34,7, ,7,"Siddharth Nagar-Worli, Mumbai"
2022-06-15,75,32,3, ,6,"Siddharth Nagar-Worli, Mumbai"
2022-06-16,70,34,7, ,7,"Siddharth Nagar-Worli, Mumbai"
2022-06-17,74,28,2,7,7,"Siddharth Nagar-Worli, Mumbai"
2022-06-18,67,17,3,8,8,"Siddharth Nagar-Worli, Mumbai"
2022-06-19,44,14,3,3,8,"Siddharth Nagar-Worli, Mumbai"
2022-06-20,39,26,3,4,8,"Siddharth Nagar-Worli, Mumbai"
2022-06-21,54,35,4,7,7,"Siddharth Nagar-Worli, Mumbai"
2022-06-22,65,29,10,4,9,"Siddharth Nagar-Worli, Mumbai"
2022-06-23,59,30,5,10,9,"Siddharth Nagar-Worli, Mumbai"
2022-06-24,68,15,8,3,9,"Siddharth Nagar-Worli, Mumbai"
2022-06-25,38,21,4,4,8,"Siddharth Nagar-Worli, Mumbai"
2022-06-26,54,27,6,6,9,"Siddharth Nagar-Worli, Mumbai"
2022-06-27,64,31,8,8,10,"Siddharth Nagar-Worli, Mumbai"
2022-06-28,68,93,8,3,6,"Siddharth Nagar-Worli, Mumbai"
2022-06-29,126,22,4,5,3,"Siddharth Nagar-Worli, Mumbai"
2022-06-30,49,34,5,7,4,"Siddharth Nagar-Worli, Mumbai"
2022-07-01,78,68,8,1,3,"Siddharth Nagar-Worli, Mumbai"
2022-07-02,143,62,9, ,4,"Siddharth Nagar-Worli, Mumbai"
2022-07-03,137,49,10, ,4,"Siddharth Nagar-Worli, Mumbai"
2022-07-04,108,48,5, ,4,"Siddharth Nagar-Worli, Mumbai"
2022-07-05,106,49,10, ,3,"Siddharth Nagar-Worli, Mumbai"
2022-07-06,108,56,10, ,4,"Siddharth Nagar-Worli, Mumbai"
2022-07-07,126,49,12,1,4,"Siddharth Nagar-Worli, Mumbai"
2022-07-08,107,44,13,3,5,"Siddharth Nagar-Worli, Mumbai"
2022-07-09,92,44,14,3,6,"Siddharth Nagar-Worli, Mumbai"
2022-07-10,89,46,14,3,6,"Siddharth Nagar-Worli, Mumbai"
2022-07-11,97,29,7,3,8,"Siddharth Nagar-Worli, Mumbai"
2022-07-12,61, , , , ,"Siddharth Nagar-Worli, Mumbai"
2022-07-13, ,39,14,4,7,"Siddharth Nagar-Worli, Mumbai"
2022-07-14,75,50,8,4,6,"Siddharth Nagar-Worli, Mumbai"
2022-07-15,110,53,14,5,1,"Siddharth Nagar-Worli, Mumbai"
2022-07-16,117,41,10,14,2,"Siddharth Nagar-Worli, Mumbai"
2022-07-17,93,37,6,5,1,"Siddharth Nagar-Worli, Mumbai"
2022-07-18,81,41,7,5,2,"Siddharth Nagar-Worli, Mumbai"
2022-07-19,87,28,13,16,2,"Siddharth Nagar-Worli, Mumbai"
2022-07-20,66,25,9,12,2,"Siddharth Nagar-Worli, Mumbai"
2022-07-21,62,37,14,3,3,"Siddharth Nagar-Worli, Mumbai"
2022-07-22,84,30,14,3,5,"Siddharth Nagar-Worli, Mumbai"
2022-07-23,69,23,6,2,5,"Siddharth Nagar-Worli, Mumbai"
2022-07-24,59,24,6, ,6,"Siddharth Nagar-Worli, Mumbai"
2022-07-25,60,24,6,6,5,"Siddharth Nagar-Worli, Mumbai"
2022-07-26,62,23,10,11,6,"Siddharth Nagar-Worli, Mumbai"
2022-07-27,57,36,5,2,6,"Siddharth Nagar-Worli, Mumbai"
2022-07-28,80,31,9,4,6,"Siddharth Nagar-Worli, Mumbai"
2022-07-29,69,25,9, ,5,"Siddharth Nagar-Worli, Mumbai"
2022-07-30,58,16,5, ,5,"Siddharth Nagar-Worli, Mumbai"
2022-07-31,40,11,11,3,6,"Siddharth Nagar-Worli, Mumbai"
2022-08-01,28,8,12, ,6,"Siddharth Nagar-Worli, Mumbai"
2022-08-02,23,10,12,1,7,"Siddharth Nagar-Worli, Mumbai"
2022-08-03,29,9,8,1,7,"Siddharth Nagar-Worli, Mumbai"
2022-08-04,29,9,6,2,6,"Siddharth Nagar-Worli, Mumbai"
2022-08-05,27, , , , ,"Siddharth Nagar-Worli, Mumbai"
2022-08-07, ,11,15,5, ,"Siddharth Nagar-Worli, Mumbai"
2022-08-08,29,31,17,3, ,"Siddharth Nagar-Worli, Mumbai"
2022-08-09,73, , , , ,"Siddharth Nagar-Worli, Mumbai"
2022-08-11, ,49,12,6,3,"Siddharth Nagar-Worli, Mumbai"
2022-08-12,107,41,13,19, ,"Siddharth Nagar-Worli, Mumbai"
2022-08-13,94, , , , ,"Siddharth Nagar-Worli, Mumbai"
2022-08-17, ,21,11,10,1,"Siddharth Nagar-Worli, Mumbai"
2022-08-18,59,20,12,21,2,"Siddharth Nagar-Worli, Mumbai"
2022-08-19,54,18,12,22,1,"Siddharth Nagar-Worli, Mumbai"
2022-08-20,51,21,12,23,2,"Siddharth Nagar-Worli, Mumbai"
2022-08-21,52,23,11,22,1,"Siddharth Nagar-Worli, Mumbai"
2022-08-22,58,20,12,24,3,"Siddharth Nagar-Worli, Mumbai"
2022-08-23,54,22,12,23,2,"Siddharth Nagar-Worli, Mumbai"
2022-08-24,56,26,11,27,3,"Siddharth Nagar-Worli, Mumbai"
2022-08-25,64,31,12,15,2,"Siddharth Nagar-Worli, Mumbai"
2022-08-26,70,50,11,31,3,"Siddharth Nagar-Worli, Mumbai"
2022-08-27,100,40,11,31,3,"Siddharth Nagar-Worli, Mumbai"
2022-08-28,84,32,4,16,3,"Siddharth Nagar-Worli, Mumbai"
2022-08-29,70,56,15,33,4,"Siddharth Nagar-Worli, Mumbai"
2022-08-30,115,50,19,32,4,"Siddharth Nagar-Worli, Mumbai"
2022-08-31,101,39,8,18,6,"Siddharth Nagar-Worli, Mumbai"
2022-09-01,81,55,9,17,6,"Siddharth Nagar-Worli, Mumbai"
2022-09-02,112,41,25,36,7,"Siddharth Nagar-Worli, Mumbai"
2022-09-03,88,28,12,18,6,"Siddharth Nagar-Worli, Mumbai"
2022-09-04,61,21,3,18,5,"Siddharth Nagar-Worli, Mumbai"
2022-09-05,52,25,4,37,5,"Siddharth Nagar-Worli, Mumbai"
2022-09-06,55,36,7,34,5,"Siddharth Nagar-Worli, Mumbai"
2022-09-07,77, , , , ,"Siddharth Nagar-Worli, Mumbai"
2022-09-11, ,58,10,20,7,"Siddharth Nagar-Worli, Mumbai"
2022-09-12,91,10,10,20,7,"Siddharth Nagar-Worli, Mumbai"
2022-09-13,30,13,20,32,6,"Siddharth Nagar-Worli, Mumbai"
2022-09-14,38,18,8,31,6,"Siddharth Nagar-Worli, Mumbai"
2022-09-15,48,20,8,34,6,"Siddharth Nagar-Worli, Mumbai"
2022-09-16,53,19,12,35,6,"Siddharth Nagar-Worli, Mumbai"
2022-09-17,51,11,7,37,7,"Siddharth Nagar-Worli, Mumbai"
2022-09-18,31,23,5,43,8,"Siddharth Nagar-Worli, Mumbai"
2022-09-19,56,33,6,44,9,"Siddharth Nagar-Worli, Mumbai"
2022-09-20,73,27,3,44,7,"Siddharth Nagar-Worli, Mumbai"
2022-09-21,62,43,2,24,8,"Siddharth Nagar-Worli, Mumbai"
2022-09-22,85,37,3,45,8,"Siddharth Nagar-Worli, Mumbai"
2022-09-23,80,20,7,42,9,"Siddharth Nagar-Worli, Mumbai"
2022-09-24,38,16,10,43,7,"Siddharth Nagar-Worli, Mumbai"
2022-09-25,33,20,7,44,7,"Siddharth Nagar-Worli, Mumbai"
2022-09-26,48,26,3,23,8,"Siddharth Nagar-Worli, Mumbai"
